year_plan_id	file_name	storage_path	db_file_size	storage_size	etag	parse_status	enabled
7ff142c9-4b53-4dc1-b8bc-3d6ebc8868b7	CBSE C Batch chemistry C1 Year Plans 2026 - 27 TG.pdf	1786293510036-CBSE_C_Batch_chemistry_C1_Year_Plans_2026_-_27_TG.pdf	228559	228559	1326904a60f8877fa36b2a5e4e5c06b6	parsed	true
892205ab-74fd-4d20-8d62-a8dcab075993	CBSE C Batch chemistry C2 Year Plans 2026 - 27 TG.pdf	1786293508161-CBSE_C_Batch_chemistry_C2_Year_Plans_2026_-_27_TG.pdf	210125	210125	729c66fd3273f6bb8a564ce8ceac9b07	parsed	true
0c77c9b8-3dbe-4a70-97d1-221390782046	CBSE C Batch chemistry C3 Year Plans 2026 - 27 TG.pdf	1786293505968-CBSE_C_Batch_chemistry_C3_Year_Plans_2026_-_27_TG.pdf	210481	210481	da21889330d4b26790bf5796279c79f8	parsed	true
29bf197c-d32e-4b5f-abe6-0055155f83ce	CBSE C Batch chemistry C4 Year Plans 2026 - 27 TG.pdf	1786293503861-CBSE_C_Batch_chemistry_C4_Year_Plans_2026_-_27_TG.pdf	266329	266329	7bc5e8c2a8951c92148730ad5ef78f1a	parsed	true
87dd5fba-2fb7-47fa-aeed-c49740d69993	CBSE C Batch chemistry C5 Year Plans 2026 - 27 TG.pdf	1786293501383-CBSE_C_Batch_chemistry_C5_Year_Plans_2026_-_27_TG.pdf	211965	211965	4b40d7760df1a89169a6b5611f182f4b	parsed	true
24dad7d0-d304-496e-b85d-821a6509faaf	CBSE Class IX TG Year Plans 2026 - 27.pdf	1786293555632-CBSE_Class_IX_TG_Year_Plans_2026_-_27.pdf	754680	754680	b485c8ed34d40879e79884e1f90dc47d	parsed	true
83c48ce1-53c3-4635-92ba-416595f40388	CBSE Class IX TG Year Plans 2026 - 27.pdf	1786345215835-CBSE_Class_IX_TG_Year_Plans_2026_-_27.pdf	46427	46427	c1e523b652c33fbf240de4b1baf48dd6	parsed	true
33d8c326-e6e2-4364-bf17-f76272af41ec	CBSE Class VI TG Year Plans 2026 - 27.pdf	1786293538360-CBSE_Class_VI_TG_Year_Plans_2026_-_27.pdf	756948	756948	4beb1ec6a4914300a75a065d0993c05b	parsed	true
9c769473-8295-47d3-b586-9213883a9504	CBSE Class VI TG Year Plans 2026 - 27.pdf	1786345112422-CBSE_Class_VI_TG_Year_Plans_2026_-_27.pdf	50162	50162	9ad9af5c683109e2709560947f9d1181	parsed	true
05597a07-8376-41f1-b867-c58dd7927033	CBSE Class VII TG Year Plans 2026 - 27.pdf	1786293543656-CBSE_Class_VII_TG_Year_Plans_2026_-_27.pdf	756236	756236	c481a749dcef16bb082a37f1bf658e73	parsed	true
